	urls
0	https://www.cars-data.com/en/porsche-911-carrera-coupe-specs/36711
1	https://www.cars-data.com/en/toyota-celica-1-6-sti-specs/48063
2	https://www.cars-data.com/en/volkswagen-jetta-1300-specs/51145
3	https://www.cars-data.com/en/mitsubishi-lancer-wagon-1-6-comfort-specs/26648
4	https://www.cars-data.com/en/mercedes-benz-sl-400-specs/77510
5	https://www.cars-data.com/en/chevrolet-matiz-0-8-pure-specs/8965
6	https://www.cars-data.com/en/nissan-navara-double-cab-2-5-dci-xe-specs/77758
7	https://www.cars-data.com/en/suzuki-sa-310-specs/79070
8	https://www.cars-data.com/en/jaguar-xk8-specs/18491
9	https://www.cars-data.com/en/mercedes-benz-s-280-specs/24942
10	https://www.cars-data.com/en/alfa-romeo-147-1-6-t-spark-16v-impression-specs/150
11	https://www.cars-data.com/en/hyundai-sonata-2-0i-gls-specs/18024
12	https://www.cars-data.com/en/mitsubishi-eclipse-2-0-dohc-specs/26431
13	https://www.cars-data.com/en/nissan-juke-1-6-juke-specs/61074
14	https://www.cars-data.com/en/chrysler-new-yorker-3-5i-v6-24v-specs/9087
15	https://www.cars-data.com/en/nissan-patrol-gr-2-8-turbo-d-specs/27524
16	https://www.cars-data.com/en/ford-mondeo-1-6-16v-trend-specs/15425
17	https://www.cars-data.com/en/mazda-323-estate-1-3-specs/21320
18	https://www.cars-data.com/en/seat-fura-900-le-specs/78691
19	https://www.cars-data.com/en/subaru-impreza-1-6-lx-specs/46448
20	https://www.cars-data.com/en/chevrolet-nubira-station-wagon-1-6-spirit-specs/8985
21	https://www.cars-data.com/en/honda-accord-1-8i-s-specs/16529
22	https://www.cars-data.com/en/suzuki-alto-e-specs/46830
23	https://www.cars-data.com/en/seat-cordoba-2-drs-1-6-100hp-sport-specs/43581
24	https://www.cars-data.com/en/pontiac-firebird-coupe-specs/59834
25	https://www.cars-data.com/en/audi-s3-limousine-2-0-tfsi-specs/74620
26	https://www.cars-data.com/en/ford-scorpio-2-0i-glx-specs/16079
27	https://www.cars-data.com/en/hyundai-xg-2-5i-v6-specs/18101
28	https://www.cars-data.com/en/volkswagen-polo-1-0-cl-specs/53282
29	https://www.cars-data.com/en/nissan-primera-wagon-1-6-lx-specs/27877
30	https://www.cars-data.com/en/opel-astra-1-4-100hp-s-s-berlin-specs/58817
31	https://www.cars-data.com/en/toyota-rav4-1-8-16v-vvt-i-linea-terra-2wd-specs/48750
32	https://www.cars-data.com/en/porsche-924-specs/67804
33	https://www.cars-data.com/en/porsche-cayenne-specs/67830
34	https://www.cars-data.com/en/hyundai-i30-fastback-1-0-t-gdi-comfort-specs/81117
35	https://www.cars-data.com/en/fiat-idea-1-4-8v-actual-specs/12051
36	https://www.cars-data.com/en/bmw-x1-sdrive18i-specs/70319
37	https://www.cars-data.com/en/audi-tt-coupe-1-8-tfsi-specs/4700
38	https://www.cars-data.com/en/fso-polonez-1-5-estate-specs/59767
39	https://www.cars-data.com/en/ford-ka-1-2-trend-essential-specs/75812
40	https://www.cars-data.com/en/saab-99-gl-cm-specs/71469
41	https://www.cars-data.com/en/jaguar-xf-3-0-v6-luxury-specs/18304
42	https://www.cars-data.com/en/audi-s1-2-0-tfsi-quattro-specs/66308
43	https://www.cars-data.com/en/mitsubishi-colt-cz5-1-1-inform-specs/26404
44	https://www.cars-data.com/en/mitsubishi-colt-czc-1-5-specs/26421
45	https://www.cars-data.com/en/ford-edge-2-0-tdci-trend-specs/73694
46	https://www.cars-data.com/en/chevrolet-kalos-1-2-ace-specs/8941
47	https://www.cars-data.com/en/mazda-3-sedan-1-6-ts-specs/21031
48	https://www.cars-data.com/en/citroen-jumpy-xs-1-6-bluehdi-95-comfort-economy-specs/102917
49	https://www.cars-data.com/en/renault-megane-sedan-1-4-16v-authentique-specs/39427
50	https://www.cars-data.com/en/opel-kadett-caravan-1-3-ne-ls-specs/31736
51	https://www.cars-data.com/en/smart-forfour-1-0-specs/46062
52	https://www.cars-data.com/en/volvo-340-dl-1-4-specs/54136
53	https://www.cars-data.com/en/aston-martin-db11-4-0-v8-coupe-specs/79939
54	https://www.cars-data.com/en/mini-one-specs/25929
55	https://www.cars-data.com/en/mitsubishi-outlander-2-0-2wd-comfort-base-specs/26657
56	https://www.cars-data.com/en/citroen-ds3-cabrio-vti-82-chic-specs/62623
57	https://www.cars-data.com/en/seat-ibiza-1-3i-cl-specs/43979
58	https://www.cars-data.com/en/suzuki-grand-vitara-metal-top-1-6-specs/46988
59	https://www.cars-data.com/en/volvo-244-dl-specs/74102
60	https://www.cars-data.com/en/mercedes-benz-e-200-coupe-specs/126405
61	https://www.cars-data.com/en/chevrolet-evanda-2-0-style-specs/8928
62	https://www.cars-data.com/en/fiat-brava-1-4-s-specs/11733
63	https://www.cars-data.com/en/audi-s4-avant-4-2-quattro-specs/3206
64	https://www.cars-data.com/en/chevrolet-camaro-convertible-6-2-v8-specs/8859
65	https://www.cars-data.com/en/renault-grand-scenic-1-6-16v-business-line-specs/40315
66	https://www.cars-data.com/en/mini-countryman-one-specs/82691
67	https://www.cars-data.com/en/peugeot-rcz-1-6-thp-155-specs/36691
68	https://www.cars-data.com/en/mitsubishi-space-star-1-3-inform-specs/26875
